Start,-,End,MEALS2GO,MKT DINEIN
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,244,"2,645",0
"Tuesday, 01/27/2015",,,,
07:01 AM,-,07:15 AM,0,36
07:16 AM,-,07:30 AM,0,27
07:31 AM,-,07:45 AM,1,36
07:46 AM,-,08:00 AM,0,45
08:01 AM,-,08:15 AM,0,44
08:16 AM,-,08:30 AM,3,34
08:31 AM,-,08:45 AM,0,26
08:46 AM,-,09:00 AM,2,35
09:01 AM,-,09:15 AM,1,47
09:16 AM,-,09:30 AM,1,38
09:31 AM,-,09:45 AM,3,61
09:46 AM,-,10:00 AM,3,26
10:01 AM,-,10:15 AM,3,5
10:16 AM,-,10:30 AM,2,2
10:31 AM,-,10:45 AM,2,8
10:46 AM,-,11:00 AM,8,43
11:01 AM,-,11:15 AM,11,57
11:16 AM,-,11:30 AM,13,133
11:31 AM,-,11:45 AM,14,146
11:46 AM,-,12:00 PM,30,224
12:01 PM,-,12:15 PM,15,136
12:16 PM,-,12:30 PM,16,79
12:31 PM,-,12:45 PM,8,56
12:46 PM,-,01:00 PM,10,56
01:01 PM,-,01:15 PM,5,47
01:16 PM,-,01:30 PM,3,19
01:31 PM,-,01:45 PM,2,7
01:46 PM,-,02:00 PM,0,4
02:01 PM,-,02:15 PM,3,8
02:16 PM,-,02:30 PM,1,1
02:31 PM,-,02:45 PM,0,3
02:46 PM,-,03:00 PM,0,0
03:01 PM,-,03:15 PM,1,1
03:16 PM,-,03:30 PM,0,2
03:31 PM,-,03:45 PM,1,3
03:46 PM,-,04:00 PM,5,9
04:01 PM,-,04:15 PM,0,8
04:16 PM,-,04:30 PM,4,6
04:31 PM,-,04:45 PM,3,16
04:46 PM,-,05:00 PM,12,52
05:01 PM,-,05:15 PM,13,137
05:16 PM,-,05:30 PM,14,79
05:31 PM,-,05:45 PM,13,106
05:46 PM,-,06:00 PM,6,113
06:01 PM,-,06:15 PM,5,144
06:16 PM,-,06:30 PM,8,140
06:31 PM,-,06:45 PM,12,60
06:46 PM,-,07:00 PM,10,69
07:01 PM,-,07:15 PM,4,47
07:16 PM,-,07:30 PM,4,45
07:31 PM,-,07:45 PM,5,32
07:46 PM,-,08:00 PM,5,17
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,285,"2,575",0
"Wednesday, 01/28/2015",,,,
06:46 AM,-,07:00 AM,0,5
07:01 AM,-,07:15 AM,1,23
07:16 AM,-,07:30 AM,1,29
07:31 AM,-,07:45 AM,1,79
07:46 AM,-,08:00 AM,5,23
08:01 AM,-,08:15 AM,1,30
08:16 AM,-,08:30 AM,0,69
08:31 AM,-,08:45 AM,1,72
08:46 AM,-,09:00 AM,3,46
09:01 AM,-,09:15 AM,2,24
09:16 AM,-,09:30 AM,0,24
09:31 AM,-,09:45 AM,2,47
09:46 AM,-,10:00 AM,3,34
10:01 AM,-,10:15 AM,1,9
10:16 AM,-,10:30 AM,1,10
10:31 AM,-,10:45 AM,1,7
10:46 AM,-,11:00 AM,11,66
11:01 AM,-,11:15 AM,7,84
11:16 AM,-,11:30 AM,7,42
11:31 AM,-,11:45 AM,8,45
11:46 AM,-,12:00 PM,15,258
12:01 PM,-,12:15 PM,20,213
12:16 PM,-,12:30 PM,9,100
12:31 PM,-,12:45 PM,6,115
12:46 PM,-,01:00 PM,8,45
01:01 PM,-,01:15 PM,6,42
01:16 PM,-,01:30 PM,7,19
01:31 PM,-,01:45 PM,0,2
01:46 PM,-,02:00 PM,1,4
02:01 PM,-,02:15 PM,4,10
02:16 PM,-,02:30 PM,1,1
02:31 PM,-,02:45 PM,1,2
02:46 PM,-,03:00 PM,2,1
03:01 PM,-,03:15 PM,0,4
03:16 PM,-,03:30 PM,0,11
03:31 PM,-,03:45 PM,2,4
03:46 PM,-,04:00 PM,5,4
04:01 PM,-,04:15 PM,5,7
04:16 PM,-,04:30 PM,0,10
04:31 PM,-,04:45 PM,4,3
04:46 PM,-,05:00 PM,2,54
05:01 PM,-,05:15 PM,9,99
05:16 PM,-,05:30 PM,3,106
05:31 PM,-,05:45 PM,9,104
05:46 PM,-,06:00 PM,10,105
06:01 PM,-,06:15 PM,5,171
06:16 PM,-,06:30 PM,9,100
06:31 PM,-,06:45 PM,5,130
06:46 PM,-,07:00 PM,11,66
07:01 PM,-,07:15 PM,3,80
